Disease,Symptoms,symptoms_list,symptom_count,symptoms_text,disease_encoded,has_respiratory_symptoms,has_cardiovascular_symptoms,has_gastrointestinal_symptoms,has_genitourinary_symptoms,has_neurological_symptoms,has_dermatological_symptoms,has_musculoskeletal_symptoms,has_endocrine_symptoms,has_severe_indicators,has_mild_indicators,has_chronic_indicators,symptom_diversity,is_augmented,augmentation_type,original_index,is_partial,partial_factor,is_noisy
Bacterial Vaginosis,vaginal itching or irritation  may be mild or absent; fishy odor  especially after intercourse; thin gray or white vaginal discharge,"['vaginal itching or irritation  may be mild or absent', 'fishy odor  especially after intercourse', 'thin gray or white vaginal discharge']",3,vaginal itching or irritation  may be mild or absent fishy odor  especially after intercourse thin gray or white vaginal discharge,3,0,0,0,0,0,1,0,0,0,1,0,1,True,symptom_variation,26.0,,,
Bacterial Vaginosis,thin gray or white vaginal discharge; fishy odor  especially after intercourse; vaginal itching or irritation  may be mild or absent,"['thin gray or white vaginal discharge', 'fishy odor  especially after intercourse', 'vaginal itching or irritation  may be mild or absent']",3,thin gray or white vaginal discharge fishy odor  especially after intercourse vaginal itching or irritation  may be mild or absent,3,0,0,0,0,0,1,0,0,0,1,0,1,True,symptom_variation,26.0,,,
Bacterial Vaginosis,thin gray or white vaginal discharge; fishy odor  especially after intercourse; vaginal itching or irritation  may be mild or absent,"['thin gray or white vaginal discharge', 'fishy odor  especially after intercourse', 'vaginal itching or irritation  may be mild or absent']",3,thin gray or white vaginal discharge fishy odor  especially after intercourse vaginal itching or irritation  may be mild or absent,3,0,0,0,0,0,1,0,0,0,1,0,1,True,symptom_variation,26.0,,,
Ectopic Pregnancy,abdominal or pelvic pain  often one sided; dizziness or fainting; missed period; vaginal bleeding or spotting; shoulder pain  if internal bleeding,"['abdominal or pelvic pain  often one sided', 'dizziness or fainting', 'missed period', 'vaginal bleeding or spotting', 'shoulder pain  if internal bleeding']",5,abdominal or pelvic pain  often one sided dizziness or fainting missed period vaginal bleeding or spotting shoulder pain  if internal bleeding,10,0,0,1,1,1,0,0,0,0,0,0,3,True,symptom_variation,27.0,,,
Ectopic Pregnancy,abdominal or pelvic pain  often one sided; vaginal bleeding or spotting; dizziness or fainting; shoulder pain  if internal bleeding; missed period,"['abdominal or pelvic pain  often one sided', 'vaginal bleeding or spotting', 'dizziness or fainting', 'shoulder pain  if internal bleeding', 'missed period']",5,abdominal or pelvic pain  often one sided vaginal bleeding or spotting dizziness or fainting shoulder pain  if internal bleeding missed period,10,0,0,1,1,1,0,0,0,0,0,0,3,True,symptom_variation,27.0,,,
Ectopic Pregnancy,abdominal or pelvic pain  often one sided; vaginal bleeding or spotting; dizziness or fainting; shoulder pain  if internal bleeding; missed period,"['abdominal or pelvic pain  often one sided', 'vaginal bleeding or spotting', 'dizziness or fainting', 'shoulder pain  if internal bleeding', 'missed period']",5,abdominal or pelvic pain  often one sided vaginal bleeding or spotting dizziness or fainting shoulder pain  if internal bleeding missed period,10,0,0,1,1,1,0,0,0,0,0,0,3,True,symptom_variation,27.0,,,
Miscarriage (Spontaneous Abortion),vaginal bleeding or spotting; cramping abdominal pain; passage of tissue or fluid; decreased pregnancy symptoms; backache,"['vaginal bleeding or spotting', 'cramping abdominal pain', 'passage of tissue or fluid', 'decreased pregnancy symptoms', 'backache']",5,vaginal bleeding or spotting cramping abdominal pain passage of tissue or fluid decreased pregnancy symptoms backache,28,0,0,1,0,0,0,1,0,0,0,0,2,True,symptom_variation,28.0,,,
Miscarriage (Spontaneous Abortion),vaginal bleeding or spotting; backache; passage of tissue or fluid; decreased pregnancy symptoms; cramping abdominal pain,"['vaginal bleeding or spotting', 'backache', 'passage of tissue or fluid', 'decreased pregnancy symptoms', 'cramping abdominal pain']",5,vaginal bleeding or spotting backache passage of tissue or fluid decreased pregnancy symptoms cramping abdominal pain,28,0,0,1,0,0,0,1,0,0,0,0,2,True,symptom_variation,28.0,,,
Miscarriage (Spontaneous Abortion),vaginal bleeding or spotting; cramping abdominal pain; passage of tissue or fluid; decreased pregnancy symptoms; backache,"['vaginal bleeding or spotting', 'cramping abdominal pain', 'passage of tissue or fluid', 'decreased pregnancy symptoms', 'backache']",5,vaginal bleeding or spotting cramping abdominal pain passage of tissue or fluid decreased pregnancy symptoms backache,28,0,0,1,0,0,0,1,0,0,0,0,2,True,symptom_variation,28.0,,,
Endometriosis,painful bowel or urination during periods; chronic pelvic pain  often worse with menstruation; painful intercourse; infertility; heavy or irregular periods,"['painful bowel or urination during periods', 'chronic pelvic pain  often worse with menstruation', 'painful intercourse', 'infertility', 'heavy or irregular periods']",5,painful bowel or urination during periods chronic pelvic pain  often worse with menstruation painful intercourse infertility heavy or irregular periods,11,0,0,0,1,0,0,0,1,0,0,1,2,True,symptom_variation,29.0,,,
Endometriosis,chronic pelvic pain  often worse with menstruation; painful intercourse; heavy or irregular periods; infertility; painful bowel or urination during periods,"['chronic pelvic pain  often worse with menstruation', 'painful intercourse', 'heavy or irregular periods', 'infertility', 'painful bowel or urination during periods']",5,chronic pelvic pain  often worse with menstruation painful intercourse heavy or irregular periods infertility painful bowel or urination during periods,11,0,0,0,1,0,0,0,1,0,0,1,2,True,symptom_variation,29.0,,,
Endometriosis,chronic pelvic pain  often worse with menstruation; painful intercourse; heavy or irregular periods; infertility; painful bowel or urination during periods,"['chronic pelvic pain  often worse with menstruation', 'painful intercourse', 'heavy or irregular periods', 'infertility', 'painful bowel or urination during periods']",5,chronic pelvic pain  often worse with menstruation painful intercourse heavy or irregular periods infertility painful bowel or urination during periods,11,0,0,0,1,0,0,0,1,0,0,1,2,True,symptom_variation,29.0,,,
Uterine Fibroids,heavy or prolonged menstrual bleeding; pelvic pressure or pain; frequent urination; infrequent bowel movements; lower back pain; enlargement of abdomen in large fibroids,"['heavy or prolonged menstrual bleeding', 'pelvic pressure or pain', 'frequent urination', 'infrequent bowel movements', 'lower back pain', 'enlargement of abdomen in large fibroids']",6,heavy or prolonged menstrual bleeding pelvic pressure or pain frequent urination infrequent bowel movements lower back pain enlargement of abdomen in large fibroids,47,0,0,0,1,0,0,1,1,0,0,0,3,True,symptom_variation,30.0,,,
Uterine Fibroids,pelvic pressure or pain; heavy or prolonged menstrual bleeding; lower back pain; frequent urination; constipation; enlargement of abdomen in large fibroids,"['pelvic pressure or pain', 'heavy or prolonged menstrual bleeding', 'lower back pain', 'frequent urination', 'constipation', 'enlargement of abdomen in large fibroids']",6,pelvic pressure or pain heavy or prolonged menstrual bleeding lower back pain frequent urination constipation enlargement of abdomen in large fibroids,47,0,0,1,1,0,0,1,1,0,0,0,4,True,symptom_variation,30.0,,,
Uterine Fibroids,pelvic pressure or pain; constipation; lower back pain; enlargement of abdomen in large fibroids; frequent urination; heavy or prolonged menstrual bleeding,"['pelvic pressure or pain', 'constipation', 'lower back pain', 'enlargement of abdomen in large fibroids', 'frequent urination', 'heavy or prolonged menstrual bleeding']",6,pelvic pressure or pain constipation lower back pain enlargement of abdomen in large fibroids frequent urination heavy or prolonged menstrual bleeding,47,0,0,1,1,0,0,1,1,0,0,0,4,True,symptom_variation,30.0,,,
Endometritis,pelvic pain; abnormal vaginal discharge; high temperature; painful intercourse; bleeding after intercourse; abnormal uterine bleeding,"['pelvic pain', 'abnormal vaginal discharge', 'high temperature', 'painful intercourse', 'bleeding after intercourse', 'abnormal uterine bleeding']",6,pelvic pain abnormal vaginal discharge high temperature painful intercourse bleeding after intercourse abnormal uterine bleeding,12,0,0,0,1,0,0,0,1,0,0,0,2,True,symptom_variation,31.0,,,
Endometritis,pelvic pain; abnormal vaginal discharge; fever; painful intercourse; bleeding after intercourse; abnormal uterine bleeding; blood in urine,"['pelvic pain', 'abnormal vaginal discharge', 'fever', 'painful intercourse', 'bleeding after intercourse', 'abnormal uterine bleeding', 'blood in urine']",7,pelvic pain abnormal vaginal discharge fever painful intercourse bleeding after intercourse abnormal uterine bleeding blood in urine,12,0,0,0,1,0,0,0,0,0,0,0,1,True,symptom_variation,31.0,,,
Endometritis,pelvic pain; abnormal vaginal discharge; fever; bleeding after intercourse; abnormal uterine bleeding; blood in urine,"['pelvic pain', 'abnormal vaginal discharge', 'fever', 'bleeding after intercourse', 'abnormal uterine bleeding', 'blood in urine']",6,pelvic pain abnormal vaginal discharge fever bleeding after intercourse abnormal uterine bleeding blood in urine,12,0,0,0,1,0,0,0,0,0,0,0,1,True,symptom_variation,31.0,,,
Iron Deficiency Anemia,weakness; weakness; pale skin; shortness of breath on exertion; dizziness; cold hands feet; brittle nails; pica  craving non food items,"['weakness', 'weakness', 'pale skin', 'shortness of breath on exertion', 'dizziness', 'cold hands feet', 'brittle nails', 'pica  craving non food items']",8,weakness weakness pale skin shortness of breath on exertion dizziness cold hands feet brittle nails pica  craving non food items,24,1,0,0,0,1,1,0,0,0,0,0,3,True,symptom_variation,32.0,,,
Iron Deficiency Anemia,pica  craving non food items; shortness of breath on exertion; brittle nails; pale skin; cold hands feet; dizziness; weakness; fatigue,"['pica  craving non food items', 'shortness of breath on exertion', 'brittle nails', 'pale skin', 'cold hands feet', 'dizziness', 'weakness', 'fatigue']",8,pica  craving non food items shortness of breath on exertion brittle nails pale skin cold hands feet dizziness weakness fatigue,24,1,0,0,0,1,1,0,1,0,0,0,4,True,symptom_variation,32.0,,,
Iron Deficiency Anemia,fatigue; weakness; pale skin; shortness of breath on exertion; dizziness; cold hands feet; brittle nails; pica  craving non food items,"['fatigue', 'weakness', 'pale skin', 'shortness of breath on exertion', 'dizziness', 'cold hands feet', 'brittle nails', 'pica  craving non food items']",8,fatigue weakness pale skin shortness of breath on exertion dizziness cold hands feet brittle nails pica  craving non food items,24,1,0,0,0,1,1,0,1,0,0,0,4,True,symptom_variation,32.0,,,
Type 2 Diabetes Mellitus,blurred vision; slow wound healing; painful urination; increased thirst; frequent urination; unexplained weight loss or gain; fatigue; recurrent infections,"['blurred vision', 'slow wound healing', 'painful urination', 'increased thirst', 'frequent urination', 'unexplained weight loss or gain', 'fatigue', 'recurrent infections']",8,blurred vision slow wound healing painful urination increased thirst frequent urination unexplained weight loss or gain fatigue recurrent infections,45,0,0,0,1,0,0,0,1,0,0,1,2,True,symptom_variation,33.0,,,
Type 2 Diabetes Mellitus,increased thirst; frequent urination; unexplained weight loss or gain; fatigue; blurred vision; slow wound healing; recurrent infections,"['increased thirst', 'frequent urination', 'unexplained weight loss or gain', 'fatigue', 'blurred vision', 'slow wound healing', 'recurrent infections']",7,increased thirst frequent urination unexplained weight loss or gain fatigue blurred vision slow wound healing recurrent infections,45,0,0,0,1,0,0,0,1,0,0,1,2,True,symptom_variation,33.0,,,
Type 2 Diabetes Mellitus,blurred vision; unexplained weight loss or gain; recurrent infections; rapid heartbeat; frequent urination; slow wound healing; fatigue; increased thirst,"['blurred vision', 'unexplained weight loss or gain', 'recurrent infections', 'rapid heartbeat', 'frequent urination', 'slow wound healing', 'fatigue', 'increased thirst']",8,blurred vision unexplained weight loss or gain recurrent infections rapid heartbeat frequent urination slow wound healing fatigue increased thirst,45,0,1,0,1,0,0,0,1,0,0,1,3,True,symptom_variation,33.0,,,
Hypothyroidism,exhaustion; constipation; menstrual irregularities; dry skin; cold intolerance; weight gain; hair loss; slowed heart rate,"['exhaustion', 'constipation', 'menstrual irregularities', 'dry skin', 'cold intolerance', 'weight gain', 'hair loss', 'slowed heart rate']",8,exhaustion constipation menstrual irregularities dry skin cold intolerance weight gain hair loss slowed heart rate,22,0,1,1,0,0,1,0,1,0,0,0,4,True,symptom_variation,34.0,,,
Hypothyroidism,tiredness; weight gain; cold intolerance; hard stools; dry skin; hair loss; slowed heart rate; menstrual irregularities,"['tiredness', 'weight gain', 'cold intolerance', 'hard stools', 'dry skin', 'hair loss', 'slowed heart rate', 'menstrual irregularities']",8,tiredness weight gain cold intolerance hard stools dry skin hair loss slowed heart rate menstrual irregularities,22,0,1,0,0,0,1,0,1,0,0,0,3,True,symptom_variation,34.0,,,
Hypothyroidism,fatigue; weight gain; difficulty passing stool; dry skin; hair loss; slowed heart rate; menstrual irregularities,"['fatigue', 'weight gain', 'difficulty passing stool', 'dry skin', 'hair loss', 'slowed heart rate', 'menstrual irregularities']",7,fatigue weight gain difficulty passing stool dry skin hair loss slowed heart rate menstrual irregularities,22,0,1,0,0,0,1,0,1,0,0,0,3,True,symptom_variation,34.0,,,
Hyperthyroidism,unintended weight loss; heat intolerance; palpitations; tremor; anxiety; increased sweating; frequent bowel movements; irritability,"['unintended weight loss', 'heat intolerance', 'palpitations', 'tremor', 'anxiety', 'increased sweating', 'frequent bowel movements', 'irritability']",8,unintended weight loss heat intolerance palpitations tremor anxiety increased sweating frequent bowel movements irritability,21,0,1,0,0,0,0,0,1,0,0,0,2,True,symptom_variation,35.0,,,
Hyperthyroidism,unintended weight loss; heat intolerance; palpitations; tremor; anxiety; increased sweating; frequent bowel movements; irritability; swelling in legs,"['unintended weight loss', 'heat intolerance', 'palpitations', 'tremor', 'anxiety', 'increased sweating', 'frequent bowel movements', 'irritability', 'swelling in legs']",9,unintended weight loss heat intolerance palpitations tremor anxiety increased sweating frequent bowel movements irritability swelling in legs,21,0,1,0,0,0,1,0,1,0,0,0,3,True,symptom_variation,35.0,,,
Hyperthyroidism,unintended weight loss; heat intolerance; palpitations; tremor; anxiety; increased sweating; frequent bowel movements; irritability; swelling in legs,"['unintended weight loss', 'heat intolerance', 'palpitations', 'tremor', 'anxiety', 'increased sweating', 'frequent bowel movements', 'irritability', 'swelling in legs']",9,unintended weight loss heat intolerance palpitations tremor anxiety increased sweating frequent bowel movements irritability swelling in legs,21,0,1,0,0,0,1,0,1,0,0,0,3,True,symptom_variation,35.0,,,
Hypertension (High Blood Pressure),often asymptomatic; headaches  esp  with severe hypertension; dizziness; shortness of breath if advanced,"['often asymptomatic', 'headaches  esp  with severe hypertension', 'dizziness', 'shortness of breath if advanced']",4,often asymptomatic headaches  esp  with severe hypertension dizziness shortness of breath if advanced,20,1,0,0,0,1,0,0,0,1,0,0,2,True,symptom_variation,36.0,,,
Hypertension (High Blood Pressure),often asymptomatic; headaches  esp  with severe hypertension; feeling faint; nosebleeds  rare; shortness of breath if advanced,"['often asymptomatic', 'headaches  esp  with severe hypertension', 'feeling faint', 'nosebleeds  rare', 'shortness of breath if advanced']",5,often asymptomatic headaches  esp  with severe hypertension feeling faint nosebleeds  rare shortness of breath if advanced,20,1,0,0,0,1,0,0,0,1,0,0,2,True,symptom_variation,36.0,,,
Hypertension (High Blood Pressure),often asymptomatic; headaches  esp  with severe hypertension; dizziness; nosebleeds  rare; shortness of breath if advanced; seizures,"['often asymptomatic', 'headaches  esp  with severe hypertension', 'dizziness', 'nosebleeds  rare', 'shortness of breath if advanced', 'seizures']",6,often asymptomatic headaches  esp  with severe hypertension dizziness nosebleeds  rare shortness of breath if advanced seizures,20,1,0,0,0,1,0,0,0,1,0,0,2,True,symptom_variation,36.0,,,
Coronary Artery Disease (Angina),chest pain pressure or discomfort with exertion; difficulty breathing; fatigue; pain may radiate to jaw arm back; relieved by rest or nitroglycerin,"['chest pain pressure or discomfort with exertion', 'difficulty breathing', 'fatigue', 'pain may radiate to jaw arm back', 'relieved by rest or nitroglycerin']",5,chest pain pressure or discomfort with exertion difficulty breathing fatigue pain may radiate to jaw arm back relieved by rest or nitroglycerin,9,1,1,0,0,0,0,1,1,0,0,0,4,True,symptom_variation,37.0,,,
Coronary Artery Disease (Angina),chest pain pressure or discomfort with exertion; shortness of breath; lethargy; pain may radiate to jaw arm back; relieved by rest or nitroglycerin,"['chest pain pressure or discomfort with exertion', 'shortness of breath', 'lethargy', 'pain may radiate to jaw arm back', 'relieved by rest or nitroglycerin']",5,chest pain pressure or discomfort with exertion shortness of breath lethargy pain may radiate to jaw arm back relieved by rest or nitroglycerin,9,1,1,0,0,0,0,1,0,0,0,0,3,True,symptom_variation,37.0,,,
Coronary Artery Disease (Angina),chest pain pressure or discomfort with exertion; shortness of breath; fatigue; pain may radiate to jaw arm back; relieved by rest or nitroglycerin; wheezing,"['chest pain pressure or discomfort with exertion', 'shortness of breath', 'fatigue', 'pain may radiate to jaw arm back', 'relieved by rest or nitroglycerin', 'wheezing']",6,chest pain pressure or discomfort with exertion shortness of breath fatigue pain may radiate to jaw arm back relieved by rest or nitroglycerin wheezing,9,1,1,0,0,0,0,1,1,0,0,0,4,True,symptom_variation,37.0,,,
Myocardial Infarction (Heart Attack),wheezing; sweating; severe chest pain pressure; pain radiating to jaw neck left arm; shortness of breath; lightheadedness; sick to stomach; sudden weakness,"['wheezing', 'sweating', 'severe chest pain pressure', 'pain radiating to jaw neck left arm', 'shortness of breath', 'lightheadedness', 'sick to stomach', 'sudden weakness']",8,wheezing sweating severe chest pain pressure pain radiating to jaw neck left arm shortness of breath lightheadedness sick to stomach sudden weakness,29,1,1,1,0,1,0,1,0,1,0,0,5,True,symptom_variation,38.0,,,
Myocardial Infarction (Heart Attack),severe chest pain pressure; shortness of breath; sweating; nausea; lightheadedness; sudden weakness,"['severe chest pain pressure', 'shortness of breath', 'sweating', 'nausea', 'lightheadedness', 'sudden weakness']",6,severe chest pain pressure shortness of breath sweating nausea lightheadedness sudden weakness,29,1,1,1,0,1,0,0,0,1,0,0,4,True,symptom_variation,38.0,,,
Myocardial Infarction (Heart Attack),severe chest pain pressure; pain radiating to jaw neck left arm; shortness of breath; sweating; nausea; lightheadedness; sudden weakness; constipation,"['severe chest pain pressure', 'pain radiating to jaw neck left arm', 'shortness of breath', 'sweating', 'nausea', 'lightheadedness', 'sudden weakness', 'constipation']",8,severe chest pain pressure pain radiating to jaw neck left arm shortness of breath sweating nausea lightheadedness sudden weakness constipation,29,1,1,1,0,1,0,1,0,1,0,0,5,True,symptom_variation,38.0,,,
Stroke (Ischemic or Hemorrhagic),severe headache  esp  hemorrhagic; imbalance; sudden vision trouble; sudden weakness or numbness  face arm leg  usually one side; confusion; slurred speech,"['severe headache  esp  hemorrhagic', 'imbalance', 'sudden vision trouble', 'sudden weakness or numbness  face arm leg  usually one side', 'confusion', 'slurred speech']",6,severe headache  esp  hemorrhagic imbalance sudden vision trouble sudden weakness or numbness  face arm leg  usually one side confusion slurred speech,40,0,0,0,0,1,0,0,0,1,0,0,1,True,symptom_variation,39.0,,,
Stroke (Ischemic or Hemorrhagic),sudden weakness or numbness  face arm leg  usually one side; slurred speech; sudden vision trouble; severe headache  esp  hemorrhagic; imbalance; confusion,"['sudden weakness or numbness  face arm leg  usually one side', 'slurred speech', 'sudden vision trouble', 'severe headache  esp  hemorrhagic', 'imbalance', 'confusion']",6,sudden weakness or numbness  face arm leg  usually one side slurred speech sudden vision trouble severe headache  esp  hemorrhagic imbalance confusion,40,0,0,0,0,1,0,0,0,1,0,0,1,True,symptom_variation,39.0,,,
Stroke (Ischemic or Hemorrhagic),sudden weakness or numbness  face arm leg  usually one side; slurred speech; sudden vision trouble; severe headache  esp  hemorrhagic; imbalance; confusion,"['sudden weakness or numbness  face arm leg  usually one side', 'slurred speech', 'sudden vision trouble', 'severe headache  esp  hemorrhagic', 'imbalance', 'confusion']",6,sudden weakness or numbness  face arm leg  usually one side slurred speech sudden vision trouble severe headache  esp  hemorrhagic imbalance confusion,40,0,0,0,0,1,0,0,0,1,0,0,1,True,symptom_variation,39.0,,,
Migraine,nausea vomiting; moderate to severe pulsating headache often on one side; visual aura in some patients; sensitivity to light and sound; worsened by activity,"['nausea vomiting', 'moderate to severe pulsating headache often on one side', 'visual aura in some patients', 'sensitivity to light and sound', 'worsened by activity']",5,nausea vomiting moderate to severe pulsating headache often on one side visual aura in some patients sensitivity to light and sound worsened by activity,27,0,0,1,0,1,0,0,0,1,0,0,2,True,symptom_variation,40.0,,,
Migraine,visual aura in some patients; moderate to severe pulsating headache often on one side; sensitivity to light and sound; nausea vomiting; worsened by activity,"['visual aura in some patients', 'moderate to severe pulsating headache often on one side', 'sensitivity to light and sound', 'nausea vomiting', 'worsened by activity']",5,visual aura in some patients moderate to severe pulsating headache often on one side sensitivity to light and sound nausea vomiting worsened by activity,27,0,0,1,0,1,0,0,0,1,0,0,2,True,symptom_variation,40.0,,,
Migraine,moderate to severe pulsating headache often on one side; nausea vomiting; sensitivity to light and sound; visual aura in some patients; worsened by activity,"['moderate to severe pulsating headache often on one side', 'nausea vomiting', 'sensitivity to light and sound', 'visual aura in some patients', 'worsened by activity']",5,moderate to severe pulsating headache often on one side nausea vomiting sensitivity to light and sound visual aura in some patients worsened by activity,27,0,0,1,0,1,0,0,0,1,0,0,2,True,symptom_variation,40.0,,,
Tension Headache,dull  aching head pain; tightness or pressure across forehead or back of head neck; mild to moderate intensity; not worsened by physical activity,"['dull  aching head pain', 'tightness or pressure across forehead or back of head neck', 'mild to moderate intensity', 'not worsened by physical activity']",4,dull  aching head pain tightness or pressure across forehead or back of head neck mild to moderate intensity not worsened by physical activity,43,0,0,0,0,0,0,1,0,0,1,0,1,True,symptom_variation,41.0,,,
Tension Headache,dull  aching head pain; tightness or pressure across forehead or back of head neck; mild to moderate intensity; not worsened by physical activity,"['dull  aching head pain', 'tightness or pressure across forehead or back of head neck', 'mild to moderate intensity', 'not worsened by physical activity']",4,dull  aching head pain tightness or pressure across forehead or back of head neck mild to moderate intensity not worsened by physical activity,43,0,0,0,0,0,0,1,0,0,1,0,1,True,symptom_variation,41.0,,,
Tension Headache,dull  aching head pain; tightness or pressure across forehead or back of head neck; mild to moderate intensity; not worsened by physical activity,"['dull  aching head pain', 'tightness or pressure across forehead or back of head neck', 'mild to moderate intensity', 'not worsened by physical activity']",4,dull  aching head pain tightness or pressure across forehead or back of head neck mild to moderate intensity not worsened by physical activity,43,0,0,0,0,0,0,1,0,0,1,0,1,True,symptom_variation,41.0,,,
Major Depressive Disorder,persistent low mood; loss of interest or pleasure; changes in appetite or weight; sleep disturbances; fatigue; difficulty concentrating; suicidal thoughts; dizziness,"['persistent low mood', 'loss of interest or pleasure', 'changes in appetite or weight', 'sleep disturbances', 'fatigue', 'difficulty concentrating', 'suicidal thoughts', 'dizziness']",8,persistent low mood loss of interest or pleasure changes in appetite or weight sleep disturbances fatigue difficulty concentrating suicidal thoughts dizziness,26,0,0,1,0,1,0,0,1,0,0,1,3,True,symptom_variation,42.0,,,
Major Depressive Disorder,persistent low mood; loss of interest or pleasure; changes in appetite or weight; sleep disturbances; tiredness; difficulty concentrating; suicidal thoughts,"['persistent low mood', 'loss of interest or pleasure', 'changes in appetite or weight', 'sleep disturbances', 'tiredness', 'difficulty concentrating', 'suicidal thoughts']",7,persistent low mood loss of interest or pleasure changes in appetite or weight sleep disturbances tiredness difficulty concentrating suicidal thoughts,26,0,0,1,0,0,0,0,1,0,0,1,2,True,symptom_variation,42.0,,,
Major Depressive Disorder,sleep disturbances; difficulty concentrating; memory problems; weakness; suicidal thoughts; loss of interest or pleasure; persistent low mood,"['sleep disturbances', 'difficulty concentrating', 'memory problems', 'weakness', 'suicidal thoughts', 'loss of interest or pleasure', 'persistent low mood']",7,sleep disturbances difficulty concentrating memory problems weakness suicidal thoughts loss of interest or pleasure persistent low mood,26,0,0,0,0,1,0,0,0,0,0,1,1,True,symptom_variation,42.0,,,
Generalized Anxiety Disorder (GAD),excessive worry; restlessness; fatigue; difficulty concentrating; muscle tension; sleep disturbance; irritability,"['excessive worry', 'restlessness', 'fatigue', 'difficulty concentrating', 'muscle tension', 'sleep disturbance', 'irritability']",7,excessive worry restlessness fatigue difficulty concentrating muscle tension sleep disturbance irritability,17,0,0,0,0,0,0,1,1,0,0,0,2,True,symptom_variation,43.0,,,
Generalized Anxiety Disorder (GAD),difficulty concentrating; fatigue; irritability; headache; excessive worry; sleep disturbance; muscle tension; restlessness,"['difficulty concentrating', 'fatigue', 'irritability', 'headache', 'excessive worry', 'sleep disturbance', 'muscle tension', 'restlessness']",8,difficulty concentrating fatigue irritability headache excessive worry sleep disturbance muscle tension restlessness,17,0,0,0,0,1,0,1,1,0,0,0,3,True,symptom_variation,43.0,,,
Generalized Anxiety Disorder (GAD),excessive worry; restlessness; fatigue; difficulty concentrating; muscle tension; sleep disturbance; irritability; rapid heartbeat,"['excessive worry', 'restlessness', 'fatigue', 'difficulty concentrating', 'muscle tension', 'sleep disturbance', 'irritability', 'rapid heartbeat']",8,excessive worry restlessness fatigue difficulty concentrating muscle tension sleep disturbance irritability rapid heartbeat,17,0,1,0,0,0,0,1,1,0,0,0,3,True,symptom_variation,43.0,,,
Rheumatoid Arthritis,symmetric joint pain  swelling and stiffness  worse in morning; weight changes; prolonged morning stiffness; small joint involvement  hands  feet; weakness,"['symmetric joint pain  swelling and stiffness  worse in morning', 'weight changes', 'prolonged morning stiffness', 'small joint involvement  hands  feet', 'weakness']",5,symmetric joint pain  swelling and stiffness  worse in morning weight changes prolonged morning stiffness small joint involvement  hands  feet weakness,37,0,0,0,0,1,1,1,1,0,0,0,4,True,symptom_variation,44.0,,,
Rheumatoid Arthritis,symmetric joint pain  swelling and stiffness  worse in morning; prolonged morning stiffness; small joint involvement  hands  feet,"['symmetric joint pain  swelling and stiffness  worse in morning', 'prolonged morning stiffness', 'small joint involvement  hands  feet']",3,symmetric joint pain  swelling and stiffness  worse in morning prolonged morning stiffness small joint involvement  hands  feet,37,0,0,0,0,0,1,1,0,0,0,0,2,True,symptom_variation,44.0,,,
Rheumatoid Arthritis,symmetric joint pain  swelling and stiffness  worse in morning; fatigue; prolonged morning stiffness; small joint involvement  hands  feet,"['symmetric joint pain  swelling and stiffness  worse in morning', 'fatigue', 'prolonged morning stiffness', 'small joint involvement  hands  feet']",4,symmetric joint pain  swelling and stiffness  worse in morning fatigue prolonged morning stiffness small joint involvement  hands  feet,37,0,0,0,0,0,1,1,1,0,0,0,3,True,symptom_variation,44.0,,,
Osteoarthritis,decreased range of motion; commonly affects knees  hips  hands  spine; crepitus; joint pain worsened with use; stiffness  especially after rest,"['decreased range of motion', 'commonly affects knees  hips  hands  spine', 'crepitus', 'joint pain worsened with use', 'stiffness  especially after rest']",5,decreased range of motion commonly affects knees  hips  hands  spine crepitus joint pain worsened with use stiffness  especially after rest,30,0,0,0,0,0,0,1,0,0,0,0,1,True,symptom_variation,45.0,,,
Osteoarthritis,stiffness  especially after rest; decreased range of motion; crepitus; commonly affects knees  hips  hands  spine,"['stiffness  especially after rest', 'decreased range of motion', 'crepitus', 'commonly affects knees  hips  hands  spine']",4,stiffness  especially after rest decreased range of motion crepitus commonly affects knees  hips  hands  spine,30,0,0,0,0,0,0,0,0,0,0,0,0,True,symptom_variation,45.0,,,
Osteoarthritis,joint pain worsened with use; stiffness  especially after rest; decreased range of motion; crepitus; commonly affects knees  hips  hands  spine,"['joint pain worsened with use', 'stiffness  especially after rest', 'decreased range of motion', 'crepitus', 'commonly affects knees  hips  hands  spine']",5,joint pain worsened with use stiffness  especially after rest decreased range of motion crepitus commonly affects knees  hips  hands  spine,30,0,0,0,0,0,0,1,0,0,0,0,1,True,symptom_variation,45.0,,,
Systemic Lupus Erythematosus (Lupus),fatigue; joint pain and swelling; butterfly rash on face; photosensitivity; fever; mouth ulcers; chest pain from pleurisy,"['fatigue', 'joint pain and swelling', 'butterfly rash on face', 'photosensitivity', 'fever', 'mouth ulcers', 'chest pain from pleurisy']",7,fatigue joint pain and swelling butterfly rash on face photosensitivity fever mouth ulcers chest pain from pleurisy,42,1,1,0,0,0,1,1,1,0,0,0,5,True,symptom_variation,46.0,,,
